"session","task","run","subj","name","word","trial.type","pc","color","iti","time.target.onset.abs","time.scan.start","trial.num","listener1","listener2","correctcolor","response.final","acc.final","rt","item","time.target.onset","time.rt.abs","time.rt","acc","time.block1.on","time.block2.on","time.block3.on","time.block1.off","time.block2.off","time.block3.off"
"bas","stp",1,"197449","bas_stp_run1_197449","BLUE","c","mc","blue",1200,99004,68285,1,"blue","blue","blue","blue","1",764,"blueBLUE",30.719,99768,794.719,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","WHITE","i","mc","blue",1200,102604,68285,2,"blue","blue","blue","blue","1",1010,"blueWHITE",34.319,103614,1044.319,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","BLACK","i","pc50","green",3600,106204,68285,3,"green","green","green","green","1",845,"greenBLACK",37.919,107049,882.919,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","BLUE","c","mc","blue",3600,112217,68285,4,"blue","blue","blue","blue","1",818,"blueBLUE",43.932,113035,861.932,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","WHITE","c","mc","white",2400,118217,68285,5,"white","white","white","white","1",713.5,"whiteWHITE",49.932,118930.5,763.432,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","YELLOW","i","pc50","black",1200,123017,68285,6,"black","black","black","black","1",674,"blackYELLOW",54.732,123691,728.732,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","RED","i","mc","white",2400,126617,68285,7,"white","white","white","white","1",871,"whiteRED",58.332,127488,929.332,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","PURPLE","c","mc","purple",3600,131417,68285,8,"purple","purple","purple","purple","1",908.5,"purplePURPLE",63.132,132325.5,971.632,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","YELLOW","c","pc50","yellow",2400,137404,68285,9,"yellow","yellow","yellow","yellow","1",895,"yellowYELLOW",69.119,138299,964.119,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","RED","c","mc","red",2400,142204,68285,10,"red","red","red","red","1",1281.5,"redRED",73.919,143485.5,1355.419,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","RED","c","mc","red",1200,147004,68285,11,"red","red","red","red","1",1001.5,"redRED",78.719,148005.5,1080.219,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","RED","c","mc","red",3600,150604,68285,12,"red","red","red","red","1",1296,"redRED",82.319,151900,1378.319,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","BLUE","i","mc","red",1200,156617,68285,13,"red","red","red","red","1",1113,"redBLUE",88.332,157730,1201.332,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","BLUE","i","mc","purple",1200,160217,68285,14,"purple","purple","purple","purple","1",1336.5,"purpleBLUE",91.932,161553.5,1428.432,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","BLUE","c","mc","blue",3600,163817,68285,15,"blue","blue","blue","blue","1",959.5,"blueBLUE",95.532,164776.5,1055.032,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","PINK","i","pc50","black",2400,169817,68285,16,"black","black","black","black","1",740,"blackPINK",101.532,170557,841.532,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","PURPLE","c","mc","purple",2400,174617,68285,17,"purple","purple","purple","purple","1",983.5,"purplePURPLE",106.332,175600.5,1089.832,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","YELLOW","c","pc50","yellow",1200,179404,68285,18,"yellow","yellow","yellow","yellow","1",817,"yellowYELLOW",111.119,180221,928.119,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","PURPLE","i","mc","red",3600,183004,68285,19,"red","red","red","red","1",1059.5,"redPURPLE",114.719,184063.5,1174.219,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","BLUE","c","mc","blue",2400,189004,68285,20,"blue","blue","blue","blue","1",905,"blueBLUE",120.719,189909,1025.719,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","WHITE","c","mc","white",3600,193817,68285,21,"white","white","white","white","1",702,"whiteWHITE",125.532,194519,827.532,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","PURPLE","i","mc","white",3600,199817,68285,22,"white","white","white","white","1",949.5,"whitePURPLE",131.532,200766.5,1081.032,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","GREEN","c","pc50","green",1200,205817,68285,23,"green","green","green","green","1",752.5,"greenGREEN",137.532,206569.5,890.032,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","BLACK","c","pc50","black",2400,209417,68285,24,"black","black","black","black","1",924,"blackBLACK",141.132,210341,1065.132,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","GREEN","i","pc50","yellow",1200,214217,68285,25,"yellow","yellow","yellow","yellow","1",1038,"yellowGREEN",145.932,215255,1183.932,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","PURPLE","c","mc","purple",1200,217817,68285,26,"purple","purple","purple","purple","1",882,"purplePURPLE",149.532,218699,1031.532,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","WHITE","c","mc","white",3600,221404,68285,27,"white","white","white","white","1",1216,"whiteWHITE",153.119,222620,1369.119,1,28.439,231.226,434.026,202.839,405.639,608.439
"bas","stp",1,"197449","bas_stp_run1_197449","RED","c","mc","red",2400,227404,68285,28,"red","red","red","red","1",926,"redRED",159.119,228330,1085.119,1,28.439,231.226,434.026,202.839,405.639,608.439
