dmcc,subj,session
2,102008,baseline
2,107321,baseline
2,107321,proactive
2,107321,reactive
2,115825,baseline
2,115825,proactive
2,115825,reactive
2,123117,baseline
2,123117,proactive
2,123117,reactive
2,130114,baseline
2,130114,proactive
2,130114,reactive
2,130518,baseline
2,130518,proactive
2,130518,reactive
2,132017,baseline
2,132017,proactive
2,132017,reactive
2,135730,baseline
2,135730,proactive
2,135730,reactive
2,138837,baseline
2,138837,proactive
2,138837,reactive
2,141422,baseline
2,141422,proactive
2,141422,reactive
2,150423,baseline
2,150423,proactive
2,150423,reactive
2,153429,baseline
2,153429,proactive
2,153429,reactive
2,155938,baseline
2,155938,proactive
2,155938,reactive
2,158136,baseline
2,158136,proactive
2,158136,reactive
2,160830,baseline
2,160830,proactive
2,160830,reactive
2,161832,baseline
2,161832,proactive
2,161832,reactive
2,162026,baseline
2,162026,proactive
2,162026,reactive
2,165032,baseline
2,165032,proactive
2,165032,reactive
2,171330,baseline
2,171330,proactive
2,171330,reactive
2,173738,baseline
2,173738,proactive
2,173738,reactive
2,176845,baseline
2,176845,proactive
2,176845,reactive
2,178243,baseline
2,178243,proactive
2,178243,reactive
2,178647,baseline
2,178647,proactive
2,178647,reactive
2,178950,baseline
2,178950,proactive
2,178950,reactive
2,179245,baseline
2,179245,proactive
2,179245,reactive
2,182436,baseline
2,182436,proactive
2,182436,reactive
2,182840,baseline
2,182840,proactive
2,182840,reactive
2,197449,baseline
2,197449,proactive
2,197449,reactive
2,203418,baseline
2,203418,proactive
2,203418,reactive
2,204319,baseline
2,204319,proactive
2,204319,reactive
2,205119,baseline
2,205119,proactive
2,205119,reactive
2,205220,baseline
2,205220,proactive
2,205220,reactive
2,233326,baseline
2,233326,proactive
2,233326,reactive
2,250427,baseline
2,250427,proactive
2,250427,reactive
2,300618,baseline
2,300618,proactive
2,300618,reactive
2,317332,baseline
2,317332,proactive
2,317332,reactive
2,346945,baseline
2,346945,proactive
2,346945,reactive
2,352738,baseline
2,352738,proactive
2,352738,reactive
2,393550,baseline
