stimulus,pc,session,count,run
blackBLACK,pc50,baseline,3,run1
blackGREEN,pc50,baseline,0,run1
blackPINK,pc50,baseline,3,run1
blackYELLOW,pc50,baseline,3,run1
yellowBLACK,pc50,baseline,0,run1
yellowGREEN,pc50,baseline,3,run1
yellowPINK,pc50,baseline,0,run1
yellowYELLOW,pc50,baseline,6,run1
greenBLACK,pc50,baseline,3,run1
greenGREEN,pc50,baseline,6,run1
greenPINK,pc50,baseline,0,run1
greenYELLOW,pc50,baseline,0,run1
pinkBLACK,pc50,baseline,0,run1
pinkGREEN,pc50,baseline,3,run1
pinkPINK,pc50,baseline,3,run1
pinkYELLOW,pc50,baseline,3,run1
blueBLUE,bias,baseline,15,run1
bluePURPLE,bias,baseline,0,run1
blueRED,bias,baseline,0,run1
blueWHITE,bias,baseline,3,run1
purpleBLUE,bias,baseline,3,run1
purplePURPLE,bias,baseline,15,run1
purpleRED,bias,baseline,0,run1
purpleWHITE,bias,baseline,0,run1
redBLUE,bias,baseline,3,run1
redPURPLE,bias,baseline,3,run1
redRED,bias,baseline,12,run1
redWHITE,bias,baseline,0,run1
whiteBLUE,bias,baseline,0,run1
whitePURPLE,bias,baseline,3,run1
whiteRED,bias,baseline,3,run1
whiteWHITE,bias,baseline,12,run1
blackBLACK,pc50,baseline,6,run2
blackGREEN,pc50,baseline,3,run2
blackPINK,pc50,baseline,0,run2
blackYELLOW,pc50,baseline,0,run2
yellowBLACK,pc50,baseline,3,run2
yellowGREEN,pc50,baseline,0,run2
yellowPINK,pc50,baseline,3,run2
yellowYELLOW,pc50,baseline,3,run2
greenBLACK,pc50,baseline,0,run2
greenGREEN,pc50,baseline,3,run2
greenPINK,pc50,baseline,3,run2
greenYELLOW,pc50,baseline,3,run2
pinkBLACK,pc50,baseline,3,run2
pinkGREEN,pc50,baseline,0,run2
pinkPINK,pc50,baseline,6,run2
pinkYELLOW,pc50,baseline,0,run2
blueBLUE,bias,baseline,12,run2
bluePURPLE,bias,baseline,3,run2
blueRED,bias,baseline,3,run2
blueWHITE,bias,baseline,0,run2
purpleBLUE,bias,baseline,0,run2
purplePURPLE,bias,baseline,12,run2
purpleRED,bias,baseline,3,run2
purpleWHITE,bias,baseline,3,run2
