subject,wave,session,term,roi,b
115825,wave2,proactive,intercept,LH_Cont_Cing_1,-0.0253252760686655
115825,wave2,proactive,conjunction,LH_Cont_Cing_1,0.0688099149931856
115825,wave2,proactive,distractor,LH_Cont_Cing_1,-0.0508185736921038
115825,wave2,proactive,incongruency,LH_Cont_Cing_1,0.0112410846413419
115825,wave2,proactive,target,LH_Cont_Cing_1,0.0315403809192361
115825,wave2,proactive,intercept,LH_Cont_Cing_2,0.0115565861554529
115825,wave2,proactive,conjunction,LH_Cont_Cing_2,0.0109745111622122
115825,wave2,proactive,distractor,LH_Cont_Cing_2,5.88609785137197e-05
115825,wave2,proactive,incongruency,LH_Cont_Cing_2,0.0296224630507245
115825,wave2,proactive,target,LH_Cont_Cing_2,0.0231872730192817
115825,wave2,proactive,intercept,LH_Cont_OFC_1,0.0301309251992105
115825,wave2,proactive,conjunction,LH_Cont_OFC_1,0.01107012688988
115825,wave2,proactive,distractor,LH_Cont_OFC_1,0.00534094788346361
115825,wave2,proactive,incongruency,LH_Cont_OFC_1,-0.00936060688005962
115825,wave2,proactive,target,LH_Cont_OFC_1,0.0134433282898233
115825,wave2,proactive,intercept,LH_Cont_Par_1,0.279775390053801
115825,wave2,proactive,conjunction,LH_Cont_Par_1,0.0703432198841478
115825,wave2,proactive,distractor,LH_Cont_Par_1,0.023223167654463
115825,wave2,proactive,incongruency,LH_Cont_Par_1,-0.100589251991877
115825,wave2,proactive,target,LH_Cont_Par_1,-0.0521190902147835
115825,wave2,proactive,intercept,LH_Cont_Par_2,0.279311113907448
115825,wave2,proactive,conjunction,LH_Cont_Par_2,-0.015812634895003
115825,wave2,proactive,distractor,LH_Cont_Par_2,0.044494192250736
115825,wave2,proactive,incongruency,LH_Cont_Par_2,-0.00109781233648151
115825,wave2,proactive,target,LH_Cont_Par_2,0.00203510149857766
115825,wave2,proactive,intercept,LH_Cont_Par_3,0.708115437632055
115825,wave2,proactive,conjunction,LH_Cont_Par_3,-0.0023134645812731
115825,wave2,proactive,distractor,LH_Cont_Par_3,-0.00586459145005235
