run1,blackBLACK,blackGREEN,blueBLUE,bluePURPLE,blueRED,blueWHITE,greenGREEN,greenPINK,greenYELLOW,pinkBLACK,pinkPINK,purpleBLUE,purplePURPLE,purpleRED,purpleWHITE,redBLUE,redPURPLE,redRED,redWHITE,whiteBLUE,whitePURPLE,whiteRED,whiteWHITE,yellowBLACK,yellowPINK,yellowYELLOW
blackBLACK,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,1
blackPINK,0.5,0,0,0,0,0,0,-0.5,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.5
blackYELLOW,0.5,0,0,-0.5,0,0,0,0,-0.5,0,0.5,0,-0.5,0,0,0,-0.5,0,0,0,-0.5,0,0,0,0,0
blueBLUE,0.5,0,-0.5,0,-0.5,0,0,0,0,0,0.5,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0,0.5
bluePURPLE,0.5,0,0,-0.5,0,-0.5,0,0,0,0,0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0.5
blueRED,0.5,0,0,0,-0.5,0,-0.5,0,0,0,0.5,0,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0.5
blueWHITE,0.5,0,0,0,0,-0.5,0,0,-0.5,-0.5,0.5,0,0,0,-0.5,0,0,0,-0.5,0,0,0,-0.5,0,-0.5,0.5
greenBLACK,0,-0.5,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0.5
greenGREEN,0.5,-0.5,-0.5,0,0,0,-0.5,0,0,0,0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pinkGREEN,0,-0.5,0,0,0,0,-0.5,-0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
pinkPINK,1,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1
pinkYELLOW,0.5,0,0,-0.5,0,0,0,0,-0.5,0,0.5,0,-0.5,0,0,0,-0.5,0,0,0,-0.5,0,0,0,0,0
purpleBLUE,0.5,0,-0.5,0,-0.5,0,0,0,0,0,0.5,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0,0.5
purplePURPLE,0.5,0,0,-0.5,0,-0.5,0,0,0,0,0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0.5
purpleRED,0.5,0,0,0,-0.5,0,-0.5,0,0,0,0.5,0,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0.5
purpleWHITE,0.5,0,0,-0.5,0,-0.5,0,0,0,0,0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0.5
redBLUE,0.5,0,-0.5,0,-0.5,0,0,0,0,0,0.5,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0,0.5
redPURPLE,0.5,0,0,-0.5,0,-0.5,0,0,0,0,0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0.5
redRED,0.5,0,0,0,-0.5,0,-0.5,0,0,0,0.5,0,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0.5
redWHITE,0.5,0,0,-0.5,0,-0.5,0,0,0,0,0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0.5
whiteBLUE,0.5,0,-0.5,0,-0.5,0,0,0,0,0,0.5,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0,0.5
whitePURPLE,0.5,0,0,-0.5,0,-0.5,0,0,0,0,0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,0.5
whiteRED,0.5,0,0,0,-0.5,0,-0.5,0,0,0,0.5,0,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0.5
whiteWHITE,0,0,0,0,0,-0.5,0,-0.5,0,0,0.5,0,0,0,-0.5,0,0,0,-0.5,0,0,0,-0.5,0,0,0.5
yellowGREEN,0.5,-1,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
yellowYELLOW,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
