run1,blackBLACK,blackGREEN,blueBLUE,bluePURPLE,blueRED,greenGREEN,greenPINK,greenYELLOW,pinkBLACK,pinkPINK,purplePURPLE,purpleRED,purpleWHITE,redRED,redWHITE,whiteBLUE,whiteWHITE,yellowBLACK,yellowPINK,yellowYELLOW
blackBLACK,0,0,0,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1
blackPINK,0,0,0,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1
blackYELLOW,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5
blueBLUE,1,1,0,0,0,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1
blueWHITE,1,1,0,0,0,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1
greenBLACK,1,1,0.5,1,1,0,0,0,1,1,1,1,0.5,1,1,1,1,0.5,1,1
greenGREEN,1,1,0.5,1,1,0,0,0,1,1,1,1,0.5,1,1,1,1,0.5,1,1
pinkGREEN,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5
pinkPINK,1,1,0.5,1,1,1,1,0,0,0,1,1,0.5,1,1,1,1,0.5,1,1
pinkYELLOW,1,1,0.5,1,1,1,1,0,0,0,1,1,0.5,1,1,1,1,0.5,1,1
purpleBLUE,1,1,0.5,1,1,1,1,0.5,1,1,0,0,0,1,1,1,1,0.5,1,1
purplePURPLE,1,1,0.5,1,1,1,1,0.5,1,1,0,0,0,1,1,1,1,0.5,1,1
redBLUE,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5
redPURPLE,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0,0,0,1,1,0.5,1,1
redRED,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0,0,0,1,1,0.5,1,1
whitePURPLE,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1,0,0,0,1,1
whiteRED,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1,0,0,0,1,1
whiteWHITE,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0
yellowGREEN,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0,0,0
yellowYELLOW,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0,0,0
