run1,blackBLACK,blackGREEN,blueBLUE,bluePURPLE,blueRED,blueWHITE,greenGREEN,greenPINK,greenYELLOW,pinkBLACK,pinkPINK,purpleBLUE,purplePURPLE,purpleRED,purpleWHITE,redBLUE,redPURPLE,redRED,redWHITE,whiteBLUE,whitePURPLE,whiteRED,whiteWHITE,yellowBLACK,yellowPINK,yellowYELLOW
blackBLACK,0,0,0,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
blackPINK,0,0,0,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
blackYELLOW,0,0,0,0,0,0,-0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5
blueBLUE,1,1,0,0,0,0,0,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
bluePURPLE,1,1,0,0,0,0,0,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
blueRED,1,1,0,0,0,0,0,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
blueWHITE,0.5,0.5,-0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5
greenBLACK,1,1,0.5,1,1,1,0,0,0,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
greenGREEN,1,1,0.5,1,1,1,0,0,0,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
pinkGREEN,1,1,0.5,1,1,1,0.5,1,1,0,0,0,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
pinkPINK,1,1,0.5,1,1,1,0.5,1,1,0,0,0,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1
pinkYELLOW,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,-0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5
purpleBLUE,1,1,0.5,1,1,1,0.5,1,1,1,1,0,0,0,0,0,1,1,1,0.5,1,1,1,0.5,1,1
purplePURPLE,1,1,0.5,1,1,1,0.5,1,1,1,1,0,0,0,0,0,1,1,1,0.5,1,1,1,0.5,1,1
purpleRED,1,1,0.5,1,1,1,0.5,1,1,1,1,0,0,0,0,0,1,1,1,0.5,1,1,1,0.5,1,1
purpleWHITE,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,-0.5,0,0,0,0,0,0,0,-0.5,0.5,0.5,0.5,0,0.5,0.5
redBLUE,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0,0,0,0,0,1,1,1,0.5,1,1
redPURPLE,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0,0,0,0,0,1,1,1,0.5,1,1
redRED,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0,0,0,0,0,1,1,1,0.5,1,1
redWHITE,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,-0.5,0,0,0,0,0,0,0,-0.5,0.5,0.5
whiteBLUE,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0,0,0,0,0,1,1
whitePURPLE,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0,0,0,0,0,1,1
whiteRED,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0,0,0,0,0,1,1
whiteWHITE,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,-0.5,0,0,0,0,0,0
yellowGREEN,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,0,0,0
yellowYELLOW,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,0,0,0
