run1,blueBLUE,bluePURPLE,blueRED,blueWHITE,purpleBLUE,purplePURPLE,purpleRED,purpleWHITE,redBLUE,redPURPLE,redRED,redWHITE,whiteBLUE,whitePURPLE,whiteRED,whiteWHITE
blueBLUE,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
bluePURPLE,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
blueRED,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
blueWHITE,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
purpleBLUE,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
purplePURPLE,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
purpleRED,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
purpleWHITE,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
redBLUE,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
redPURPLE,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
redRED,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
redWHITE,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
whiteBLUE,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
whitePURPLE,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
whiteRED,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
whiteWHITE,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
