run1,blackBLACK,blackGREEN,blackPINK,blackYELLOW,greenBLACK,greenGREEN,greenPINK,greenYELLOW,pinkBLACK,pinkGREEN,pinkPINK,pinkYELLOW,yellowBLACK,yellowGREEN,yellowPINK,yellowYELLOW
blackBLACK,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
blackGREEN,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
blackPINK,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
blackYELLOW,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
greenBLACK,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
greenGREEN,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
greenPINK,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
greenYELLOW,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
pinkBLACK,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
pinkGREEN,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
pinkPINK,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
pinkYELLOW,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
yellowBLACK,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
yellowGREEN,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
yellowPINK,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
yellowYELLOW,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
