run1,blackBLACK,blackGREEN,blueBLUE,bluePURPLE,blueRED,greenGREEN,greenPINK,greenYELLOW,pinkBLACK,pinkPINK,purplePURPLE,purpleRED,purpleWHITE,redRED,redWHITE,whiteBLUE,whiteWHITE,yellowBLACK,yellowPINK,yellowYELLOW
blackBLACK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackPINK,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
blackYELLOW,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
blueBLUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueWHITE,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
greenBLACK,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
greenGREEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pinkGREEN,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
pinkPINK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pinkYELLOW,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
purpleBLUE,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
purplePURPLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redBLUE,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
redPURPLE,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
redRED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whitePURPLE,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
whiteRED,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
whiteWHITE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yellowGREEN,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0
yellowYELLOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
