run1,blueBLUE,bluePURPLE,blueRED,blueWHITE,purpleBLUE,purplePURPLE,purpleRED,purpleWHITE,redBLUE,redPURPLE,redRED,redWHITE,whiteBLUE,whitePURPLE,whiteRED,whiteWHITE
blueBLUE,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bluePURPLE,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
blueRED,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
blueWHITE,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
purpleBLUE,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
purplePURPLE,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
purpleRED,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
purpleWHITE,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
redBLUE,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
redPURPLE,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
redRED,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
redWHITE,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
whiteBLUE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
whitePURPLE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
whiteRED,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
whiteWHITE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
