subj,session,wave,dmcc,twinpair,is_mc_mi,is_mc_mi_cotwin,is_mi_mc,is_mi_mc_cotwin,is_mc_mi_retest,is_mc_mi_retest_cotwin,is_ispc_retest,is_ispc_retest_cotwin
102008,baseline,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107321,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115825,baseline,wave1,2,17,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
123117,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130114,baseline,wave1,2,35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130518,baseline,wave1,2,23,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
132017,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
135730,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138837,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141422,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150423,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153429,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155938,baseline,wave1,2,35,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
158136,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160830,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161832,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165032,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
173738,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176845,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178647,baseline,wave1,2,16,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
178950,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182436,baseline,wave1,2,16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
203418,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
204319,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
233326,baseline,wave1,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
250427,baseline,wave1,2,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
300618,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
317332,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
346945,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
352738,baseline,wave1,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
393550,baseline,wave1,2,19,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
432332,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
448347,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
562345,baseline,wave1,2,23,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
580650,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
594156,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
601127,baseline,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
